attribute,instance,parent_instance,notation,label,definition,reference,citation,isproperty,concept_definition,pub_chem,inchi_key,inchi
physioChemical,Manpyr,,Manpyr,Manganese (Mn) - pyrophosphate extractable,Manganese in soil that is organically bound in organo-metal complexes,,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3;ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a,23930,PWHULOQIROXLJO-UHFFFAOYSA-N,1S/Mn
physioChemical,ManKCl,,ManKCl,Manganese (Mn) - KCl extractable,KCl extractable manganese measures the readily available manganese fraction in soil. It provides a more accurate assessment of manganese availability to plants than total manganese. This method is commonly used for nutrient management. Source: Soil Science Society of America.,,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3;ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a,23930,PWHULOQIROXLJO-UHFFFAOYSA-N,1S/Mn
physioChemical,Mol,,Mol,Molybdenum,"Molybdenum is a micronutrient essential for plant enzymes involved in nitrogen fixation and nitrate reduction. Deficiency, often observed in acidic soils, can lead to stunted growth and poor nitrogen utilization. Its availability increases with higher pH, making liming a common solution for molybdenum deficiencies. Source: Havlin et al. (2014).",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3;ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a,23932,,
physioChemical,pH,,pH,pH - Hydrogen potential,"Soil pH measures the concentration of hydrogen ions (H⁺) in the soil solution, indicating its acidity or alkalinity on a scale from 1 to 14. Neutral soils have a pH of 7, while values below 7 are acidic and above are alkaline. Soil pH significantly affects nutrient availability, microbial activity, and plant growth. For instance, nutrients like phosphorus are most available in a pH range of 6 to 7. Lime or sulfur applications can adjust soil pH to optimize conditions for crops. Source: USDA Natural Resources Conservation Service (NRCS).",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3;ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a,,,
physioChemical,Manext,,Manext,Manganese (Mn) - extractable,Manganese bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3;ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a,23930,PWHULOQIROXLJO-UHFFFAOYSA-N,1S/Mn
physioChemical,Borext,,Borext,Boron (B) - extractable,Boron bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3;ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a,5462311,ZOXJGFHDIHLPTG-UHFFFAOYSA-N,1S/B
physioChemical,Sul,,Sul,Sulfate (SO4--) - soluble,Soluble Sulfate anions accumulated in the soil. A contributor to soil salinisation.,,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3;ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a,1117,QAOWNCQODCNURD-UHFFFAOYSA-L,"1S/H2O4S/c1-5(2,3)4/h(H2,1,2,3,4)/p-2"
physioChemical,Brot,,Brot,Bromite (BrO2-),"Bromite (BrO₂⁻) is a rare intermediate oxidation state of bromine, generally not prevalent in natural soils. It may arise under specific chemical or environmental conditions and is of limited importance in typical soil science contexts. Source: Environmental Chemistry Textbooks.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3;ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a,5460628,DKSMCEUSSQTGBK-UHFFFAOYSA-M,"1S/BrHO2/c2-1-3/h(H,2,3)/p-1"
physioChemical,Calsol,,Calsol,Calcium (Ca++) - soluble,Soluble Calcium cations accumulated in the soil. A contributor to soil salinisation.,,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3;ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a,271,BHPQYMZQTOCNFJ-UHFFFAOYSA-N,1S/Ca/q+2
physioChemical,Sulext,,Sulext,Sulfur (S) - extractable,Sulfur bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3;ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a,5362487,NINIDFKCEFEMDL-UHFFFAOYSA-N,1S/S
physioChemical,Alu,,Alu,Aluminium (Al) + 0.5 Fe oxalate,Sum of the oxalate-extractable aluminium concentration plus half the oxalate-extractable iron concentration,,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3;ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a,5359268,XAGFODPZIPBFFR-UHFFFAOYSA-N,1S/Al
physioChemical,Por,,Por,Porosity,"Porosity refers to the percentage of soil volume occupied by pores or voids, which hold air and water. It directly impacts water infiltration, drainage, and root growth. Soils with high porosity are better suited for crop cultivation, as they provide good aeration and water availability. Source: Brady & Weil (2017).",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3;ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a,,,
physioChemical,Copext,,Copext,Copper (Cu) - extractable,Copper bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3;ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a,23978,RYGMFSIKBFXOCR-UHFFFAOYSA-N,1S/Cu
physioChemical,Irotot,,Irotot,Iron (Fe) - total,"Total iron includes all iron forms in the soil, from soluble ferrous iron (Fe²⁺) to insoluble ferric iron (Fe³⁺). Iron is essential for plant chlorophyll synthesis and various enzymatic reactions. Deficiency, often seen in alkaline soils, results in chlorosis, while excessive iron can cause toxicity in acidic soils. Source: Soil Chemistry by Bohn et al.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3;ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a,23925,XEEYBQQBJWHFJM-UHFFFAOYSA-N,1S/Fe
physioChemical,Aluexc,,Aluexc,Aluminium (Al) exchangeable,Aluminium ions bound to exchange surfaces in the soil such as clay minerals and organic matter that can be released to the soil solution upon exchange,,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3;ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a,5359268,XAGFODPZIPBFFR-UHFFFAOYSA-N,1S/Al
physioChemical,Cartot,,Cartot,Carbon (C) - total,"Total carbon in soil includes both organic carbon (from plant and microbial residues) and inorganic carbon (primarily carbonates). It is a fundamental component of soil organic matter, influencing soil fertility, structure, and water retention. High carbon levels are associated with better soil health and productivity. Source: USDA NRCS.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3;ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a,5462310,OKTJSMMVPCPJKN-UHFFFAOYSA-N,1S/C
