collection,concept,parent_concept,notation,label,definition,reference,citation,collection_definition,pub_chem,inchi_key,inchi
landUseClass,PD2,PD,PD2,With interference,Land-use classification of main class Nature protection and of subclass Degradation control and of type With interference,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,AA6,AA,AA6,Irrigated cultivation,Land-use classification of main class Crop agriculture and of subclass Annual field cropping and of type Irrigated cultivation,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,F,,F,F = Forestry,Land-use classification of main class Forestry,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,SI,S,SI,Industrial use,"Land-use classification of main class Settlement, industry and of subclass Industrial use",,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,FN,F,FN,Natural forest and woodland,Land-use classification of main class Forestry and of subclass Natural forest and woodland,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,HE2,HE,HE2,Semi-nomadism,Land-use classification of main class Animal husbandry and of subclass Extensive grazing and of type Semi-nomadism,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,PN3,PN,PN3,Wildlife management,Land-use classification of main class Nature protection and of subclass Nature and game preservation and of type Wildlife management,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,AP,A,AP,Perennial field cropping,Land-use classification of main class Crop agriculture and of subclass Perennial field cropping,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,HI,H,HI,Intensive grazing,Land-use classification of main class Animal husbandry and of subclass Intensive grazing,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,SX,S,SX,Excavations,"Land-use classification of main class Settlement, industry and of subclass Excavations",,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,P,,P,P = Nature protection,Land-use classification of main class Nature protection,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
structureSize,VC,,VC,Very coarse/thick,> 10 1.1.000 > 50,,,Size classes for soil structure types. See more in guidelines for Soil Description issued by the FAO: table 50,,,
structureSize,ME,,ME,Medium,2–5 20–50 10–20,,,Size classes for soil structure types. See more in guidelines for Soil Description issued by the FAO: table 50,,,
structureSize,FI,,FI,Fine/thin,1–2 10–20 5–10,,,Size classes for soil structure types. See more in guidelines for Soil Description issued by the FAO: table 50,,,
structureSize,VF,,VF,Very fine/thin,< 1 < 10 < 5,,,Size classes for soil structure types. See more in guidelines for Soil Description issued by the FAO: table 50,,,
structureSize,CO,,CO,Coarse/thick,5–10 50–100 20–50,,,Size classes for soil structure types. See more in guidelines for Soil Description issued by the FAO: table 50,,,
structureSize,EC,,EC,Extremely coarse,– > 500 –,,,Size classes for soil structure types. See more in guidelines for Soil Description issued by the FAO: table 50,,,
fragmentsSize,B,,B,Boulders,Boulders of coarse size of 20cm–60cm,,,"Classes of occurrence of coarse surface fragments are correlated with the ones for rock outcrop. See more in guidelines for Soil Description issued by the FAO: table 15,2",,,
fragmentsSize,M,,M,Medium gravel,Medium gravel coarse size of 0.6cm–2.0cm,,,"Classes of occurrence of coarse surface fragments are correlated with the ones for rock outcrop. See more in guidelines for Soil Description issued by the FAO: table 15,2",,,
fragmentsSize,F,,F,Fine gravel,Fine gravel coarse size of 0.2cm–0.6cm,,,"Classes of occurrence of coarse surface fragments are correlated with the ones for rock outcrop. See more in guidelines for Soil Description issued by the FAO: table 15,2",,,
fragmentsSize,C,,C,Coarse gravel,Coarse gravel of size 2cm–6cm,,,"Classes of occurrence of coarse surface fragments are correlated with the ones for rock outcrop. See more in guidelines for Soil Description issued by the FAO: table 15,2",,,
fragmentsSize,S,,S,Stones,Stones of coarse size 6cm–20cm,,,"Classes of occurrence of coarse surface fragments are correlated with the ones for rock outcrop. See more in guidelines for Soil Description issued by the FAO: table 15,2",,,
fragmentsSize,L,,L,Large boulders,Large boulders of coarse size 60cm–200cm,,,"Classes of occurrence of coarse surface fragments are correlated with the ones for rock outcrop. See more in guidelines for Soil Description issued by the FAO: table 15,2",,,
coatingContrast,F,,F,Faint,"Surface of coating shows only little contrast in colour, smoothness or any other property to the adjacent surface. Fine sand grains are readily apparent in the cutan. Lamellae are less than 2 mm thick.",,,Classification of the contrast of coatings. See more in Guidelines for Soil Description issued by the FAO: table 65,,,
